stock1,stock2,lag,A_causes_B,B_causes_A,p_AB,p_BA
AAPL,ETR,1,False,False,0.30076613349962705,0.13795283875141287
AAPL,FE,1,False,False,0.3769919734882662,0.8196990169492613
AAPL,ATO,1,False,False,0.4695481169240646,0.6661331641451635
AAPL,CMS,1,False,False,0.6974619891780744,0.8285341527157946
AAPL,CNP,1,False,False,0.9405321399432283,0.8209828795080272
AAPL,NI,1,False,False,0.9536589548678146,0.7189413082601097
AAPL,EVRG,1,False,False,0.06531536253491134,0.831822145828466
AAPL,LNT,1,False,False,0.5925133829661858,0.8607539046684713
AAPL,AES,1,False,False,0.7083050520961494,0.29311734850743104
AAPL,PPL,1,False,False,0.9401326359775973,0.6148910199658015
AAPL,NRG,1,False,False,0.4391254162063727,0.17649774717308095
AAPL,VST,1,False,True,0.3181228880424246,0.04079863478486413
AAPL,UGI,1,False,False,0.6532780023726763,0.17976974151966552
AAPL,OGE,1,False,False,0.29172207344745626,0.989614266718982
AAPL,PNW,1,False,False,0.8736509047305245,0.5095893797288277
AAPL,SHOP,1,False,True,0.25775524295753505,0.022803911962153495
AAPL,UBER,1,False,False,0.16758095563204692,0.3612254747947683
AAPL,ABNB,1,False,False,0.9528682924961729,0.7997746412350255
AAPL,DASH,1,True,False,0.010814123296151414,0.774795197391958
AAPL,SPOT,1,False,False,0.9938905039353958,0.5900566928200899
AAPL,ROKU,1,False,False,0.5262796274428283,0.6374853752825507
AAPL,ZM,1,False,False,0.10502016887221358,0.2617745218836024
AAPL,TEAM,1,False,False,0.060398604367931624,0.2836350236890868
AAPL,DBX,1,False,False,0.17051898374375082,0.3230869707758197
AAPL,PINS,1,True,False,0.03707234211478665,0.9886691750937074
AAPL,SNAP,1,False,False,0.47289725410300565,0.7764127729814272
AAPL,LYFT,1,False,False,0.6059930043426712,0.07595649716360431
AAPL,ETSY,1,False,False,0.2560893963588133,0.4622036367913307
AAPL,GDDY,1,False,False,0.2573459798404095,0.6442255964283155
AAPL,WIX,1,True,False,0.00748292172900739,0.5782669024535174
AAPL,FVRR,1,False,False,0.2692744493771742,0.8329949340853855
AAPL,UPWK,1,True,False,0.023026075838424042,0.479154375626876
AAPL,TXN,1,False,True,0.2888745000161205,0.04801812317951531
AAPL,MCHP,1,True,False,0.004474261345878522,0.6849468551265263
AAPL,SWKS,1,False,False,0.7851714812924216,0.2625653338579965
AAPL,QRVO,1,False,False,0.16488698593699813,0.1466587771330271
AAPL,MPWR,1,False,False,0.05484792547870146,0.7288073665765623
AAPL,ON,1,True,False,0.044522239585610836,0.4405522131100199
AAPL,NXPI,1,False,False,0.18304461420115697,0.09233154218208736
AAPL,STM,1,True,False,0.02431438626245166,0.13870380218014652
AAPL,LSCC,1,True,False,0.024927729856826418,0.5526497434024722
AAPL,SAP,1,False,False,0.47255208584684805,0.40536524666200024
AAPL,WDAY,1,False,False,0.12052403021980662,0.8872020539324738
AAPL,VEEV,1,False,False,0.10896628780936893,0.5385429125555352
AAPL,HUBS,1,True,False,0.007852326747808247,0.6080880085752594
AAPL,BILL,1,False,False,0.09395814856870494,0.7667410909005784
AAPL,GTLB,1,True,False,0.026451221562154674,0.9667045850275776
AAPL,ESTC,1,True,False,0.014387410045712805,0.28316402010574787
AAPL,FROG,1,False,False,0.6543887191762086,0.07429438845251075
AAPL,NCNO,1,False,False,0.712600414355991,0.4370396815961164
AAPL,TENB,1,False,False,0.23005726969489265,0.4175288428038728
AAPL,RPD,1,False,False,0.34207883694170327,0.3842989551124859
AAPL,RIVN,1,False,False,0.7826774773354471,0.6445943980230586
AAPL,LCID,1,False,False,0.6293247800343083,0.4602059864248783
AAPL,NIO,1,False,False,0.17344853324851714,0.3567382909957668
AAPL,XPEV,1,False,False,0.29192373359691476,0.7070267619463186
AAPL,LI,1,False,False,0.18779507885988986,0.7771752370839865
AAPL,PLUG,1,False,False,0.333502727314655,0.9864243091402353
AAPL,FCEL,1,False,False,0.4602214032454859,0.18983837120359195
AAPL,BLDP,1,False,False,0.7044720345589137,0.728141152358748
AAPL,BE,1,False,False,0.18638715093337893,0.27736144547145813
AAPL,ENPH,1,False,False,0.13622063121488326,0.6700745317316206
AAPL,SEDG,1,False,False,0.1256217594459775,0.8010099679918288
AAPL,RUN,1,False,False,0.6740075280758072,0.8737676145429175
AAPL,SPWR,1,False,False,0.8529996183156194,0.6330313849386904
AAPL,CSIQ,1,False,False,0.8960000282130608,0.2686466071282958
MSFT,GOOGL,1,False,False,0.9224415721609149,0.058735831252590326
MSFT,AMZN,1,False,False,0.49554639980284876,0.41944390696758005
MSFT,NVDA,1,False,False,0.600017376292802,0.5422433549683867
MSFT,META,1,False,True,0.09492410517724016,0.0444405782793225
MSFT,TSLA,1,False,False,0.6992604629797006,0.14524728524445266
MSFT,AVGO,1,False,False,0.39886190857771364,0.7962624979850264
MSFT,ORCL,1,False,False,0.6423062753223001,0.8979197163247868
MSFT,ADBE,1,False,False,0.8575840976675293,0.9061545154818194
MSFT,CRM,1,False,False,0.7862802084231758,0.4984860096233612
MSFT,NFLX,1,False,False,0.59184457791878,0.9532579025405247
MSFT,AMD,1,False,False,0.4016712153659435,0.8738265673110978
MSFT,INTC,1,False,False,0.3108892693095019,0.9373549923383193
MSFT,QCOM,1,False,False,0.19520293363552832,0.12573808033104905
