Leader,Follower,Shift,Correlation
ORCL,GOOGL,15,0.7191549542428949
INTC,GOOGL,5,0.7663226728740529
INTC,GOOGL,15,0.8464403441521533
INTC,GOOGL,25,0.8134101667056066
GOOGL,AMD,5,0.8000572271839654
GOOGL,AMD,15,0.8220371896557969
GOOGL,AMD,25,0.8709414232985666
AMD,GOOGL,5,0.7688956805247993
AMD,GOOGL,15,0.7491900635079918
GOOGL,CAT,5,0.8778666177773904
GOOGL,CAT,15,0.852800274656284
GOOGL,CAT,25,0.8240724208622222
CAT,GOOGL,5,0.8607147561678485
CAT,GOOGL,15,0.8139401700563085
CAT,GOOGL,25,0.7099030828304775
GOOGL,MS,5,0.8563715251252494
GOOGL,MS,15,0.8350365621363686
GOOGL,MS,25,0.7710475666937978
MS,GOOGL,5,0.8530975182454147
MS,GOOGL,15,0.7605110996584686
GOOGL,GS,5,0.8349292390442633
GOOGL,GS,15,0.8374433073645721
GOOGL,GS,25,0.7997260517226509
GS,GOOGL,5,0.8173259305122357
GS,GOOGL,15,0.7178527793694675
GOOGL,BLK,5,0.8426945551638373
GOOGL,BLK,15,0.8687396660635955
GOOGL,BLK,25,0.8625737575656817
GOOGL,C,5,0.8226678092402354
GOOGL,C,15,0.8150233274758266
GOOGL,C,25,0.7718950143949611
C,GOOGL,5,0.8031414036869385
C,GOOGL,15,0.7063773032511416
GOOGL,LRCX,5,0.8437472642434041
GOOGL,LRCX,15,0.8071922806168885
GOOGL,LRCX,25,0.784313795705362
LRCX,GOOGL,5,0.859443654012802
LRCX,GOOGL,15,0.8217321134666057
LRCX,GOOGL,25,0.7064731689267593
GOOGL,AXP,5,0.8052544842274675
GOOGL,AXP,15,0.7500311763714322
AXP,GOOGL,5,0.8023413511819665
AXP,GOOGL,15,0.7056234022035929
GOOGL,GM,5,0.8105193955134979
GOOGL,GM,15,0.8401340859087592
GOOGL,GM,25,0.7856737770359145
GM,GOOGL,5,0.7737165731409898
GM,GOOGL,15,0.7110014271750991
GOOGL,NSC,5,0.7894189471554143
GOOGL,NSC,15,0.8052463846445087
GOOGL,NSC,25,0.7978756450212032
NSC,GOOGL,5,0.7640184669554486
NSC,GOOGL,15,0.7138190521859898
GOOGL,COF,5,0.7039836724264841
GOOGL,COF,15,0.7432590833237906
GOOGL,COF,25,0.705899036237275
NVDA,META,5,0.7809521165776883
NVDA,META,15,0.7284628510287475
META,NVDA,5,0.784464817765653
META,NVDA,15,0.7532480571408086
NVDA,JPM,5,0.8299274267771761
NVDA,JPM,15,0.8208894056721874
NVDA,JPM,25,0.7479827549595163
JPM,NVDA,5,0.8338167720985151
JPM,NVDA,15,0.7649721068794256
JPM,NVDA,25,0.7142520232556568
NVDA,AVGO,5,0.866819360823169
NVDA,AVGO,15,0.8407294633424631
NVDA,AVGO,25,0.7660145781393433
AVGO,NVDA,5,0.8390786783869352
AVGO,NVDA,15,0.818205381649773
AVGO,NVDA,25,0.7837934616291822
NVDA,ORCL,5,0.9122784584668948
NVDA,ORCL,15,0.8739931155243668
NVDA,ORCL,25,0.7667774765916515
ORCL,NVDA,5,0.9106324896520068
ORCL,NVDA,15,0.872670568499949
ORCL,NVDA,25,0.823627179487719
NVDA,CSCO,5,0.7829085914487677
NVDA,CSCO,15,0.7582518423667768
NVDA,CSCO,25,0.7077409297179488
CSCO,NVDA,5,0.7924327361057256
CSCO,NVDA,15,0.7199413652899604
NVDA,AMD,5,0.8670224521932716
NVDA,AMD,15,0.8314374293589878
NVDA,AMD,25,0.7108905314462827
AMD,NVDA,5,0.8819355370294585
AMD,NVDA,15,0.8487587247177254
AMD,NVDA,25,0.7728184601440231
NVDA,CAT,5,0.8701656679312928
NVDA,CAT,15,0.7974057605368849
CAT,NVDA,5,0.9027492453216458
CAT,NVDA,15,0.8810572954228645
CAT,NVDA,25,0.8278014535713976
NVDA,MS,5,0.8627018548603212
NVDA,MS,15,0.8034808581842232
MS,NVDA,5,0.8920705814619764
MS,NVDA,15,0.8443299120136549
MS,NVDA,25,0.8080360391918308
NVDA,GS,5,0.8783787740033719
NVDA,GS,15,0.8376227359793619
NVDA,GS,25,0.7255654403935552
GS,NVDA,5,0.9015882997494482
GS,NVDA,15,0.8533299248968225
GS,NVDA,25,0.8115080293904783
NVDA,RTX,5,0.7950672290597284
NVDA,RTX,15,0.7997732010690115
NVDA,RTX,25,0.7772171216919543
RTX,NVDA,5,0.7812371773113385
RTX,NVDA,15,0.7443360369765922
NVDA,BLK,5,0.8985129445001233
NVDA,BLK,15,0.8348992442935306
BLK,NVDA,5,0.9401889733122532
BLK,NVDA,15,0.8908179834275963
BLK,NVDA,25,0.8337998972959351
NVDA,GE,5,0.8115805381297856
NVDA,GE,15,0.8207228358572295
NVDA,GE,25,0.8043356599987699
GE,NVDA,5,0.7820909019742464
GE,NVDA,15,0.7111373622553274
NVDA,ADI,5,0.779596781316092
NVDA,ADI,15,0.7491666435626188
ADI,NVDA,5,0.8066618729083314
ADI,NVDA,15,0.7190992755262802
NVDA,BKNG,5,0.7667369410050441
NVDA,BKNG,15,0.8545082511637357
NVDA,BKNG,25,0.845992493980126
NVDA,C,5,0.8504816941509742
NVDA,C,15,0.8079570720275939
NVDA,C,25,0.7022926565264802
C,NVDA,5,0.8809391206116992
C,NVDA,15,0.8434616858680399
C,NVDA,25,0.8146449787580118
NVDA,LRCX,5,0.83219847666848
NVDA,LRCX,15,0.8061937935963317
NVDA,LRCX,25,0.7750197326441355
LRCX,NVDA,5,0.8142275600170508
LRCX,NVDA,15,0.7854517994752305
LRCX,NVDA,25,0.7595959544696321
NVDA,SCHW,5,0.8131454775212168
NVDA,SCHW,15,0.8489135759584511
NVDA,SCHW,25,0.8256736062158726
AXP,NVDA,5,0.784502135252146
AXP,NVDA,15,0.7460507879895469
AXP,NVDA,25,0.7154720375256123
GM,NVDA,5,0.8021979716666656
GM,NVDA,15,0.8324698143189612
GM,NVDA,25,0.8386394840303234
CSX,NVDA,5,0.811579209645112
CSX,NVDA,15,0.7765192746271247
CSX,NVDA,25,0.7040355192786033
NVDA,NSC,5,0.8856561948679703
NVDA,NSC,15,0.7908647283840985
NSC,NVDA,5,0.9219421187136684
NSC,NVDA,15,0.8766977757242854
NSC,NVDA,25,0.8070420916176733
NVDA,EMR,5,0.78592622105243
NVDA,EMR,15,0.7443063392811138
EMR,NVDA,5,0.8048701412379353
EMR,NVDA,15,0.7218980966762614
NVDA,COF,5,0.7993445238222808
NVDA,COF,15,0.8114504681558097
NVDA,COF,25,0.707600379699815
COF,NVDA,5,0.8204019248872532
COF,NVDA,15,0.7364373280939644
META,JPM,5,0.8912208784716894
META,JPM,15,0.8052178123077178
JPM,META,5,0.8602354614735092
JPM,META,15,0.7483957125849253
META,AVGO,5,0.858417657678254
META,AVGO,15,0.8082379705257144
META,AVGO,25,0.7408386518961779
AVGO,META,5,0.8272415074927002
AVGO,META,15,0.747834499678967
ORCL,META,5,0.7865840811854232
ORCL,META,15,0.7635351119261151
ORCL,META,25,0.7450922639507338
META,CSCO,5,0.8612844069104268
META,CSCO,15,0.7454527356477073
CSCO,META,5,0.8813939844596062
CSCO,META,15,0.7934546028444097
