Leader,Follower,ShiftDays,Correlation,Direction
MSFT,DE,25,0.5104877248303775,MSFT→DE
MSFT,GS,25,0.5980991621981455,MSFT→GS
GS,MSFT,25,0.9041998931128591,GS→MSFT
MSFT,SPGI,25,0.3852468730345118,MSFT→SPGI
SPGI,MSFT,25,0.39320268631125704,SPGI→MSFT
MSFT,RTX,25,0.7552987871239079,MSFT→RTX
RTX,MSFT,25,0.8179327683167572,RTX→MSFT
MSFT,BLK,25,0.5234262835946284,MSFT→BLK
BLK,MSFT,25,0.8803517360693534,BLK→MSFT
MSFT,ISRG,25,-0.5372506735374081,MSFT→ISRG
ISRG,MSFT,25,-0.5510155460957076,ISRG→MSFT
MSFT,PLD,25,-0.3435450912403909,MSFT→PLD
PLD,MSFT,25,0.47494815724067396,PLD→MSFT
MSFT,MDT,25,0.22822285906692977,MSFT→MDT
MDT,MSFT,25,0.7792984076630469,MDT→MSFT
MSFT,GE,25,0.7818204329788583,MSFT→GE
GE,MSFT,25,0.7848578824896483,GE→MSFT
MSFT,ADI,25,0.4929981139417506,MSFT→ADI
ADI,MSFT,25,0.7839207544189886,ADI→MSFT
MSFT,SYK,25,0.2361924980927567,MSFT→SYK
SYK,MSFT,25,0.33283966692789246,SYK→MSFT
MSFT,ELV,25,-0.6028137959714764,MSFT→ELV
ELV,MSFT,25,-0.8012326689860485,ELV→MSFT
MSFT,BKNG,25,0.7864947756574401,MSFT→BKNG
BKNG,MSFT,25,0.5483306415443904,BKNG→MSFT
MSFT,GILD,25,0.5249045887394033,MSFT→GILD
GILD,MSFT,25,0.5824357466597134,GILD→MSFT
MSFT,C,25,0.5854762879990402,MSFT→C
C,MSFT,25,0.9127035071800746,C→MSFT
MSFT,CVS,25,0.5377959968545929,MSFT→CVS
CVS,MSFT,25,0.5260585984128361,CVS→MSFT
MSFT,LRCX,25,0.6814242861601502,MSFT→LRCX
LRCX,MSFT,25,0.8088694132184575,LRCX→MSFT
MSFT,ADP,25,0.31857650664191034,MSFT→ADP
ADP,MSFT,25,-0.2656817131898765,ADP→MSFT
MSFT,REGN,25,-0.7049062209218775,MSFT→REGN
REGN,MSFT,25,-0.2762731579774106,REGN→MSFT
MSFT,MO,25,0.7788442489216401,MSFT→MO
MO,MSFT,25,0.699997392968337,MO→MSFT
MSFT,MDLZ,25,0.4825965202521431,MSFT→MDLZ
MDLZ,MSFT,25,-0.13746119874013898,MDLZ→MSFT
TMUS,MSFT,25,-0.1877211718738521,TMUS→MSFT
MSFT,T,25,0.6679813867100376,MSFT→T
T,MSFT,25,0.36558623640893784,T→MSFT
CB,MSFT,25,-0.3630706115118286,CB→MSFT
MSFT,SCHW,25,0.7818571627427399,MSFT→SCHW
SCHW,MSFT,25,0.7353839628655512,SCHW→MSFT
MSFT,SO,25,0.6879235342757632,MSFT→SO
SO,MSFT,25,0.6016620768456072,SO→MSFT
PGR,MSFT,25,-0.6803652367676769,PGR→MSFT
MSFT,AXP,25,0.35685491376609024,MSFT→AXP
AXP,MSFT,25,0.7532608059767403,AXP→MSFT
MSFT,ZTS,25,-0.5566300793560325,MSFT→ZTS
ZTS,MSFT,25,-0.5503974229160219,ZTS→MSFT
MSFT,CL,25,-0.3033526177634923,MSFT→CL
CL,MSFT,25,-0.7776969098274784,CL→MSFT
MSFT,DUK,25,0.6012147021812879,MSFT→DUK
DUK,MSFT,25,0.5631817495628215,DUK→MSFT
MSFT,EOG,25,-0.46298646899718515,MSFT→EOG
USB,MSFT,25,0.6570302891784784,USB→MSFT
MSFT,TGT,25,-0.6416279843637336,MSFT→TGT
TGT,MSFT,25,-0.24641791364792945,TGT→MSFT
PNC,MSFT,25,0.7019931056832489,PNC→MSFT
MSFT,MMC,25,-0.5154190856141303,MSFT→MMC
MMC,MSFT,25,-0.7895022891582517,MMC→MSFT
FIS,MSFT,25,-0.48327544301979236,FIS→MSFT
MSFT,BDX,25,-0.8563125207807872,MSFT→BDX
BDX,MSFT,25,-0.2065772745595929,BDX→MSFT
MSFT,CME,25,0.6607505745492179,MSFT→CME
CME,MSFT,25,0.214392663872007,CME→MSFT
ITW,MSFT,25,0.5879438987429619,ITW→MSFT
MSFT,GM,25,0.35809317522148876,MSFT→GM
GM,MSFT,25,0.815389858182815,GM→MSFT
MSFT,CSX,25,0.21855074476210012,MSFT→CSX
CSX,MSFT,25,0.775339737862411,CSX→MSFT
MSFT,NSC,25,0.5013372264223179,MSFT→NSC
NSC,MSFT,25,0.8942258943425485,NSC→MSFT
MSFT,AON,25,-0.5915973404018365,MSFT→AON
AON,MSFT,25,-0.233277299733561,AON→MSFT
MSFT,EMR,25,0.42144018916842824,MSFT→EMR
EMR,MSFT,25,0.7394113921390396,EMR→MSFT
MSFT,COF,25,0.5975861737028622,MSFT→COF
COF,MSFT,25,0.8199247456532853,COF→MSFT
MSFT,FDX,25,-0.5883729489278875,MSFT→FDX
GOOGL,AMZN,25,0.5201793366918627,GOOGL→AMZN
AMZN,GOOGL,25,0.329452681255885,AMZN→GOOGL
GOOGL,NVDA,25,0.8821503727996546,GOOGL→NVDA
NVDA,GOOGL,25,0.46965877908226894,NVDA→GOOGL
GOOGL,META,25,0.6607630931596762,GOOGL→META
META,GOOGL,25,0.4095308375438296,META→GOOGL
GOOGL,TSLA,25,0.35518318117683656,GOOGL→TSLA
TSLA,GOOGL,25,0.4689943100608291,TSLA→GOOGL
GOOGL,JPM,25,0.7154557247711889,GOOGL→JPM
JPM,GOOGL,25,0.4695677736568289,JPM→GOOGL
GOOGL,UNH,25,-0.543602454135852,GOOGL→UNH
GOOGL,HD,25,0.45876338148758566,GOOGL→HD
HD,GOOGL,25,0.4340118236349888,HD→GOOGL
GOOGL,PG,25,-0.58779454059651,GOOGL→PG
PG,GOOGL,25,-0.31660501198065694,PG→GOOGL
GOOGL,MA,25,0.47109168554814446,GOOGL→MA
MA,GOOGL,25,0.20808520769969843,MA→GOOGL
GOOGL,LLY,25,-0.6005846878408804,GOOGL→LLY
LLY,GOOGL,25,0.29187000638999694,LLY→GOOGL
GOOGL,AVGO,25,0.7933693274967488,GOOGL→AVGO
AVGO,GOOGL,25,0.5383175948984692,AVGO→GOOGL
GOOGL,XOM,25,0.24255979449578682,GOOGL→XOM
XOM,GOOGL,25,0.5166339902477269,XOM→GOOGL
GOOGL,COST,25,-0.1650608280940193,GOOGL→COST
COST,GOOGL,25,-0.3078121596360774,COST→GOOGL
PEP,GOOGL,25,0.6237890593961145,PEP→GOOGL
GOOGL,PFE,25,0.13727047498634587,GOOGL→PFE
PFE,GOOGL,25,0.4878723499279979,PFE→GOOGL
GOOGL,MRK,25,-0.1634301622132518,GOOGL→MRK
MRK,GOOGL,25,0.29239711243588645,MRK→GOOGL
GOOGL,ORCL,25,0.8766058120002027,GOOGL→ORCL
ORCL,GOOGL,25,0.5737261306134596,ORCL→GOOGL
GOOGL,ABBV,25,0.3576519955950978,GOOGL→ABBV
ABBV,GOOGL,25,0.7394568004651776,ABBV→GOOGL
GOOGL,DIS,25,0.5397053779504758,GOOGL→DIS
GOOGL,CVX,25,0.33617834308843775,GOOGL→CVX
CVX,GOOGL,25,0.5765848104974636,CVX→GOOGL
GOOGL,ADBE,25,-0.37026913557319924,GOOGL→ADBE
ADBE,GOOGL,25,-0.2197779089156987,ADBE→GOOGL
GOOGL,ACN,25,-0.6749692313406006,GOOGL→ACN
ACN,GOOGL,25,-0.30774043038543386,ACN→GOOGL
DHR,GOOGL,25,0.21249752776760097,DHR→GOOGL
GOOGL,CSCO,25,0.6196775182374321,GOOGL→CSCO
CSCO,GOOGL,25,0.45231673619199786,CSCO→GOOGL
GOOGL,NFLX,25,0.5108442472169182,GOOGL→NFLX
GOOGL,CRM,25,-0.40054140893308615,GOOGL→CRM
CRM,GOOGL,25,-0.1651413589355493,CRM→GOOGL
GOOGL,LIN,25,0.46622209581353113,GOOGL→LIN
GOOGL,TXN,25,0.3277786302186424,GOOGL→TXN
GOOGL,NKE,25,0.3703551816272729,GOOGL→NKE
NKE,GOOGL,25,0.3631469854327684,NKE→GOOGL
TMO,GOOGL,25,0.6437207981309128,TMO→GOOGL
GOOGL,INTC,25,0.36127679371581134,GOOGL→INTC
INTC,GOOGL,25,0.8134101667056066,INTC→GOOGL
GOOGL,WMT,25,0.467492230596893,GOOGL→WMT
WMT,GOOGL,25,0.4601105278420804,WMT→GOOGL
GOOGL,UPS,25,-0.5027796105862743,GOOGL→UPS
UPS,GOOGL,25,-0.18176802398068898,UPS→GOOGL
GOOGL,HON,25,0.3190142680121199,GOOGL→HON
HON,GOOGL,25,-0.29400816514139216,HON→GOOGL
GOOGL,NEE,25,0.405444303275018,GOOGL→NEE
NEE,GOOGL,25,0.6888024643899872,NEE→GOOGL
GOOGL,PM,25,0.23950870675533312,GOOGL→PM
PM,GOOGL,25,-0.17188988639260303,PM→GOOGL
AMGN,GOOGL,25,0.35921705280658267,AMGN→GOOGL
GOOGL,AMD,25,0.8709414232985666,GOOGL→AMD
AMD,GOOGL,25,0.6708712124555872,AMD→GOOGL
GOOGL,QCOM,25,0.16981005058130974,GOOGL→QCOM
QCOM,GOOGL,25,0.639670885355398,QCOM→GOOGL
GOOGL,LOW,25,0.37652239408359484,GOOGL→LOW
LOW,GOOGL,25,0.4498276610160978,LOW→GOOGL
GOOGL,CAT,25,0.8240724208622222,GOOGL→CAT
CAT,GOOGL,25,0.7099030828304775,CAT→GOOGL
IBM,GOOGL,25,0.33063408700475133,IBM→GOOGL
GOOGL,MS,25,0.7710475666937978,GOOGL→MS
MS,GOOGL,25,0.6103637051319348,MS→GOOGL
AMT,GOOGL,25,-0.46619071039298,AMT→GOOGL
GOOGL,INTU,25,0.5307927105478646,GOOGL→INTU
INTU,GOOGL,25,-0.2193948766124287,INTU→GOOGL
GOOGL,DE,25,0.1803305943308998,GOOGL→DE
DE,GOOGL,25,-0.25197616292074304,DE→GOOGL
GOOGL,GS,25,0.7997260517226509,GOOGL→GS
GS,GOOGL,25,0.556028830633257,GS→GOOGL
GOOGL,SPGI,25,0.6060010139140808,GOOGL→SPGI
GOOGL,RTX,25,0.7083597777114994,GOOGL→RTX
RTX,GOOGL,25,0.5175181083800496,RTX→GOOGL
GOOGL,BLK,25,0.8625737575656817,GOOGL→BLK
BLK,GOOGL,25,0.526789545479395,BLK→GOOGL
GOOGL,ISRG,25,-0.6072493239989616,GOOGL→ISRG
ISRG,GOOGL,25,-0.296053364328205,ISRG→GOOGL
PLD,GOOGL,25,0.7804907958804567,PLD→GOOGL
NOW,GOOGL,25,-0.20907531994159387,NOW→GOOGL
GOOGL,MDT,25,0.4149483754467237,GOOGL→MDT
MDT,GOOGL,25,0.7062220267273426,MDT→GOOGL
GOOGL,GE,25,0.6973459931193539,GOOGL→GE
GE,GOOGL,25,0.4661696206504916,GE→GOOGL
GOOGL,ADI,25,0.6357215676638153,GOOGL→ADI
ADI,GOOGL,25,0.41629069174073796,ADI→GOOGL
GOOGL,SYK,25,0.27198098744126076,GOOGL→SYK
GOOGL,ELV,25,-0.8448135998878082,GOOGL→ELV
ELV,GOOGL,25,-0.23309468294537214,ELV→GOOGL
GOOGL,BKNG,25,0.6995127776862455,GOOGL→BKNG
GOOGL,GILD,25,0.3622556091431365,GOOGL→GILD
GILD,GOOGL,25,0.4398227414346971,GILD→GOOGL
GOOGL,C,25,0.7718950143949611,GOOGL→C
C,GOOGL,25,0.5619453940843468,C→GOOGL
GOOGL,CVS,25,0.3171269986343403,GOOGL→CVS
CVS,GOOGL,25,0.5235151918965505,CVS→GOOGL
GOOGL,LRCX,25,0.784313795705362,GOOGL→LRCX
LRCX,GOOGL,25,0.7064731689267593,LRCX→GOOGL
ADP,GOOGL,25,-0.5156434401274215,ADP→GOOGL
GOOGL,REGN,25,-0.3029675034885826,GOOGL→REGN
REGN,GOOGL,25,0.13222266453779005,REGN→GOOGL
GOOGL,MO,25,0.7093123900249554,GOOGL→MO
MO,GOOGL,25,0.3796792334631408,MO→GOOGL
MDLZ,GOOGL,25,-0.3282732587949176,MDLZ→GOOGL
